City;State;Median Age;Male Population;Female Population;Total Population;Number of Veterans;Foreign-born;Average Household Size;State Code;Race;Count
Hoover;Alabama;38.5;38040;46799;84839;4819;8229;2.58;AL;Asian;4759
Avondale;Arizona;29.1;38712;41971;80683;4815;8355;3.18;AZ;Black or African-American;11592
Wichita;Kansas;34.6;192354;197601;389955;23978;40270;2.56;KS;Hispanic or Latino;65162
Laredo;Texas;28.8;124305;131484;255789;4921;68427;3.66;TX;American Indian and Alaska Native;1253
Berkeley;California;32.5;60142;60829;120971;3736;25000;2.35;CA;Asian;27089
Hampton;Virginia;35.5;66214;70240;136454;19638;6204;2.48;VA;Black or African-American;70303
Frederick;Maryland;36.1;33146;36336;69482;3870;14211;2.48;MD;White;49181
Sparks;Nevada;36.1;47780;48318;96098;7315;15690;2.63;NV;Hispanic or Latino;29159
Brooklyn Park;Minnesota;35.1;37845;41305;79150;3506;17490;2.85;MN;White;41760
Danbury;Connecticut;37.3;43435;41227;84662;3752;25675;2.74;CT;Black or African-American;8454
Miami Gardens;Florida;34.9;50719;62480;113199;2327;33394;3.75;FL;Black or African-American;85300
Tulsa;Oklahoma;35.0;197437;205654;403091;24672;43751;2.37;OK;Black or African-American;72643
Jonesboro;Arkansas;32.6;35666;38240;73906;3682;3222;2.44;AR;Black or African-American;14599
Omaha;Nebraska;34.2;218789;225098;443887;24503;48263;2.47;NE;Hispanic or Latino;63516
Nashville;Tennessee;34.1;314231;340365;654596;27942;88193;2.39;TN;Hispanic or Latino;67526
Somerville;Massachusetts;31.0;41028;39306;80334;2103;22292;2.43;MA;Asian;9498
Bakersfield;California;30.6;182154;191473;373627;12284;71575;3.23;CA;American Indian and Alaska Native;7357
Montgomery;Alabama;35.4;94582;106004;200586;14955;9337;2.41;AL;White;73545
Turlock;California;36.2;33190;39103;72293;3397;14686;2.76;CA;Asian;5232
Lynwood;California;29.4;35634;36371;72005;776;28061;4.43;CA;Asian;994
Waco;Texas;29.3;63452;68890;132342;10716;14235;2.57;TX;Asian;4230
Vallejo;California;37.8;58379;62890;121269;8103;30592;2.83;CA;American Indian and Alaska Native;1671
Denver;Colorado;34.1;341137;341408;682545;29363;113222;2.33;CO;Black or African-American;72288
Toms River;New Jersey;43.7;43864;43886;87750;5042;6852;2.71;NJ;White;79538
Garland;Texas;34.5;116406;120430;236836;10407;62975;3.12;TX;Hispanic or Latino;90989
Clearwater;Florida;47.0;55225;57754;112979;10631;17686;2.4;FL;Asian;2434
Las Cruces;New Mexico;32.7;47835;53809;101644;9421;11888;2.58;NM;Asian;3266
Des Moines;Iowa;34.5;103726;106591;210317;11780;23857;2.41;IA;Asian;15205
El Paso;Texas;33.1;332797;348339;681136;47693;159709;3.03;TX;Asian;12370
Livonia;Michigan;47.4;45369;49264;94633;5397;7175;2.52;MI;White;87383
Redlands;California;36.2;33993;37035;71028;3445;8681;2.82;CA;White;55241
Chino;California;36.5;50989;34610;85599;4186;18666;3.62;CA;Hispanic or Latino;45495
Rio Rancho;New Mexico;38.3;47251;46904;94155;8527;5200;2.86;NM;American Indian and Alaska Native;4857
Provo;Utah;23.6;56231;59027;115258;2177;10925;3.28;UT;White;108471
Tallahassee;Florida;26.2;89390;100504;189894;9575;16720;2.38;FL;Hispanic or Latino;13538
Anaheim;California;33.6;179603;171135;350738;9796;137133;3.45;CA;Hispanic or Latino;201593
Cambridge;Massachusetts;31.5;55421;54981;110402;2495;27757;2.06;MA;Asian;18441
Deerfield Beach;Florida;41.4;37155;42614;79769;3882;23642;2.46;FL;White;53037
Spring Valley;Nevada;37.0;96808;97147;193955;10644;61072;2.79;NV;Black or African-American;29031
Spring Valley;Nevada;37.0;96808;97147;193955;10644;61072;2.79;NV;Asian;45059
Sioux City;Iowa;34.3;38827;43949;82776;4093;7471;2.57;IA;White;70513
Grand Prairie;Texas;33.1;90811;96944;187755;7073;44888;3.18;TX;Black or African-American;54934
Springfield;Illinois;38.8;55639;62170;117809;7525;4264;2.22;IL;Asian;3871
